Metro Area Name,Year,Total Senior Population (CPS),Senior Food Insecurity Rate,# of Food Insecure Seniors,Total Older Adults Population (CPS),Older Adult Food Insecurity Rate,# of Food Insecure Older Adults
"Indianapolis, IN",2021,"450,978",7.7%,"34,883","338,164",11.9%,"40,310"
"Indianapolis-Carmel-Anderson, IN",2022,"482,457",7.0%,"33,540","259,521",12.2%,"31,790"
"Indianapolis-Carmel-Anderson, IN",2023,"461,111",7.2%,"33,090","259,335",9.7%,"25,185"
"Jacksonville, FL",2019,"393,446",8.4%,"33,188","210,243",12.3%,"25,932"
"Jacksonville, FL",2020,"394,625",8.2%,"32,552","200,233",11.0%,"21,952"
"Jacksonville, FL",2021,"390,706",7.6%,"29,556","244,696",9.0%,"21,952"
"Jacksonville, FL",2022,"378,532",7.6%,"28,802","214,473",3.8%,"8,178"
"Jacksonville, FL",2023,"355,259",6.7%,"23,890","230,475",4.8%,"11,001"
"Kansas City, MO-KS",2019,"408,566",8.1%,"32,967","297,133",12.4%,"36,697"
"Kansas City, MO-KS",2020,"394,849",8.3%,"32,551","295,157",14.5%,"42,623"
"Kansas City, MO-KS",2021,"415,900",8.4%,"34,935","339,496",12.8%,"43,264"
"Kansas City, MO-KS",2022,"437,326",7.5%,"32,871","278,713",8.3%,"23,008"
"Kansas City, MO-KS",2023,"438,313",6.8%,"30,024","247,961",9.4%,"23,300"
"Las Vegas-Henderson-Paradise, NV",2019,"477,000",8.0%,"38,280","279,092",11.0%,"30,427"
"Las Vegas-Henderson-Paradise, NV",2020,"492,597",7.2%,"35,458","281,814",10.8%,"30,178"
"Las Vegas-Henderson-Paradise, NV",2021,"520,283",6.9%,"35,922","337,661",11.2%,"37,679"
"Las Vegas-Henderson-Paradise, NV",2022,"534,691",7.5%,"40,134","279,494",11.2%,"31,431"
"Las Vegas-Henderson-Paradise, NV",2023,"543,322",7.2%,"39,038","281,583",11.0%,"30,869"
"Los Angeles-Long Beach-Anaheim, CA",2019,"2,550,414",8.8%,"224,488","1,648,938",10.7%,"174,886"
"Los Angeles-Long Beach-Anaheim, CA",2020,"2,663,015",9.0%,"238,655","1,651,278",11.2%,"183,811"
"Los Angeles-Long Beach-Anaheim, CA",2021,"2,708,854",8.6%,"231,392","1,959,490",10.4%,"201,992"
"Los Angeles-Long Beach-Anaheim, CA",2022,"2,749,745",8.6%,"236,062","1,594,512",10.5%,"167,700"
"Los Angeles-Long Beach-Anaheim, CA",2023,"2,791,141",8.5%,"237,846","1,567,746",10.5%,"164,677"
"Louisville, KY-IN",2019,"275,069",10.4%,"28,628","216,920",11.1%,"24,116"
"Louisville, KY-IN",2020,"274,602",8.7%,"23,879","199,834",8.4%,"16,838"
"Louisville, KY-IN",2021,"287,741",7.2%,"20,663","228,345",10.6%,"24,128"
"Louisville/Jefferson County, KY-IN",2022,"298,013",7.9%,"23,600","174,270",11.1%,"19,271"
"Louisville/Jefferson County, KY-IN",2023,"299,072",7.6%,"22,597","171,768",12.4%,"21,302"
"Memphis, TN-MS-AR",2019,"271,433",13.7%,"37,286","151,970",14.4%,"21,814"
"Memphis, TN-MS-AR",2020,"266,365",11.4%,"30,439","165,411",14.8%,"24,539"
"Memphis, TN-MS-AR",2021,"272,737",10.8%,"29,443","202,683",17.1%,"34,606"
"Memphis, TN-MS-AR",2022,"284,662",9.6%,"27,282","186,629",19.5%,"36,301"
"Memphis, TN-MS-AR",2023,"298,394",9.1%,"27,169","196,399",17.9%,"35,177"
"Miami-Fort Lauderdale-W Palm Beach, FL",2019,"1,381,498",7.6%,"105,086","877,516",10.5%,"91,361"
"Miami-Fort Lauderdale-West Palm Beach, FL",2020,"1,467,559",8.9%,"129,378","897,890",11.6%,"103,360"
"Miami-Fort Lauderdale-West Palm Beach, FL",2021,"1,552,605",9.8%,"151,385","1,063,748",10.8%,"114,319"
"Miami-Fort Lauderdale-West Palm Beach, FL",2022,"1,632,431",11.1%,"181,137","858,126",11.2%,"95,923"
"Miami-Fort Lauderdale-West Palm Beach, FL",2023,"1,663,532",12.8%,"213,646","814,739",9.7%,"79,401"
"Milwaukee-Waukesha-West Allis, WI",2019,"298,885",6.8%,"20,302","195,061",7.6%,"14,809"
"Milwaukee-Waukesha-West Allis, WI",2020,"301,645",9.2%,"27,808","202,280",8.3%,"16,732"
"Milwaukee-Waukesha-West Allis, WI",2021,"300,078",8.3%,"24,760","236,402",9.4%,"22,198"
"Milwaukee-Waukesha-West Allis, WI",2022,"319,040",9.9%,"31,546","209,308",10.7%,"22,425"
"Milwaukee-Waukesha-West Allis, WI",2023,"328,422",10.7%,"35,047","213,293",11.9%,"25,344"
"Minneapolis-St Paul-Bloomington, MN-WI",2019,"672,701",2.3%,"15,222","524,186",7.3%,"37,812"
"Minneapolis-St Paul-Bloomington, MN-WI",2020,"688,689",2.5%,"17,242","507,020",6.2%,"31,001"
"Minneapolis-St Paul-Bloomington, MN-WI",2021,"688,084",3.0%,"20,318","614,362",6.5%,"39,574"
"Minneapolis-St. Paul-Bloomington, MN-WI",2022,"701,749",3.5%,"24,227","487,351",6.9%,"33,555"
"Minneapolis-St. Paul-Bloomington, MN-WI",2023,"737,469",4.4%,"32,712","476,817",8.0%,"38,378"
"Nashville-Davidson--Murfreesboro--Franklin, TN",2022,"413,026",3.9%,"15,937","267,374",6.1%,"16,366"
"Nashville-Davidson--Murfreesboro--Franklin, TN",2023,"447,294",4.0%,"17,698","271,124",5.2%,"14,078"
"Nashville-Davidson-Murfreesboro, TN",2019,"360,058",4.9%,"17,540","267,767",8.7%,"23,412"
